component,occurrences,example_source_paths,category,target_mapping,status,risk,batchable,decision_refs,notes
Integrate,22,docs/convoai/best-practice/audio-settings.mdx|docs/convoai/user-guides/interrupt-agent.mdx|docs/convoai/user-guides/listen-agent-events.mdx|docs/convoai/user-guides/manual-turn-control.mdx|docs/convoai/user-guides/realtime-sub.mdx|docs/convoai/user-guides/send-multimodal-message.mdx|docs/marketplace/integrate-extensions/faceunity-ar.android.ios.flutter.mdx|docs/marketplace/integrate-extensions/iflytek-asr.android.ios.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 22 source files include this legacy JSX tag after code fences were excluded.
LinkTooltip,22,docs/dummy-product/test/components.mdx|docs/rtc/advanced-features/face-capture.android.mdx|docs/rtc/advanced-features/face-capture.ios.macos.mdx|docs/rtc/advanced-features/face-capture.windows.mdx|docs/rtc/advanced-features/voice-changer.android.mdx|docs/rtc/advanced-features/voice-changer.electron.rn.mdx|docs/rtc/advanced-features/voice-changer.ios.macos.mdx|docs/rtc/advanced-features/voice-changer.windows.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 8 source files include this legacy JSX tag after code fences were excluded.
ListPanel,22,docs/dummy-product/landing-page.unity.mdx|docs/dummy-product/test/landing-page.mdx|docs/rtm2/landing-page.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Region,22,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Roomuuid,22,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Code,20,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
DownloadCard,20,docs/dummy-product/_homepage_.mdx|docs/dummy-product/test/components.mdx|docs/flexible-classroom/_resources.mdx|docs/iot-apaas/_resources.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
LinkList,20,docs/dummy-product/landing-page.mdx|docs/iot-apaas/landing-page.mdx|docs/rtm2/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Msg,20,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Prerequisites,20,docs/marketplace/integrate-extensions/faceunity-ar.android.ios.flutter.mdx|docs/marketplace/integrate-extensions/iflytek-asr.android.ios.windows.mdx|docs/marketplace/integrate-extensions/legacy/.livedata-asr.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_bytedance-volcengine-ar.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_databaker-voice-changer.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_dubbing-voice-changer.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_fosafer-ar.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_hteffect-3d-avatar-cn.android.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 20 source files include this legacy JSX tag after code fences were excluded.
Stateitem,20,docs-api-reference/rtm2/_en/_cpp/_presence-en.cpp.mdx|docs-api-reference/rtm2/_en/_harmonyos/_presence-en.harmonyos.mdx|docs-api-reference/rtm2/_en/_unity/_presence-en.unity.mdx|docs-api-reference/rtm2/toc-configuration/configuration.cpp.mdx|docs-api-reference/rtm2/toc-configuration/configuration.harmonyos.mdx|docs-api-reference/rtm2/toc-presence/presence.cpp.mdx|docs-api-reference/rtm2/toc-presence/presence.harmonyos.mdx|docs-api-reference/rtm2/toc-presence/presence.unity.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 8 source files include this legacy JSX tag after code fences were excluded.
Ts,20,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
PlatformLinkCard,18,docs/dummy-product/_homepage_.mdx|docs/dummy-product/test/components.mdx|docs/iot-apaas/_homepage_.mdx,platform-variant,static platform folders or PlatformInline/PlatformStructured,needs_review,high,partial,legacy-casebook:platform-filters,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
HomepagePlatformCard,17,docs/dummy-product/test/rtc-homepage.mdx|docs/rtc/_homepage_.mdx,platform-variant,static platform folders or PlatformInline/PlatformStructured,needs_review,high,partial,legacy-casebook:platform-filters,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
HTML,17,docs/dummy-product/test/components.mdx|docs/shared/common/enable-ncs-v2-1.mdx|docs/shared/common/enable-ncs-v2-2.mdx|docs/shared/common/get-temp-token.mdx|docs/shared/rtcandgame/spatial-audio-unity.mdx|docs/shared/rtsc/enable-ncs-v1-1.mdx|docs/shared/showroom/audio-scenario.mdx|shared/smart-camera/amazon-alexa.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 10 source files include this legacy JSX tag after code fences were excluded.
HomepageUsecaseCard,16,docs/dummy-product/test/rtc-homepage.mdx|docs/rtc/_homepage_.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
OverloadMethodCollapsePanel,16,docs-api-reference/dummy-product/test/overload-method-card.mdx,api-reference,prefer structured API/OpenAPI source; otherwise conservative Markdown reference rewrite,needs_review,high,no,legacy-casebook:api-reference-mdx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
QuickGuide,16,docs/dummy-product/landing-page.mdx|docs/multi-usecase/non-scenario-based/landing-page.mdx|docs/multi-usecase/scenario-based/landing-page.mdx|docs/multi-usecase/ui-solution/landing-page.mdx|docs/smart-camera/landing-page.mdx|docs/smart-doorbell/landing-page.mdx|docs/smart-watch/landing-page.mdx|docs/teleoperation/landing-page.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 8 source files include this legacy JSX tag after code fences were excluded.
LinkCard,14,docs/aigc/resources.mdx|docs/convoai/resources.mdx|docs/dummy-product/test/components.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Upgrade,14,docs/marketplace/integrate-extensions/faceunity-ar.android.ios.flutter.mdx|docs/marketplace/integrate-extensions/iflytek-asr.android.ios.windows.mdx|docs/marketplace/integrate-extensions/legacy/.livedata-asr.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_bytedance-volcengine-ar.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_databaker-voice-changer.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_fosafer-ar.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_hteffect-3d-avatar-cn.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_hteffect-ar.android.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 14 source files include this legacy JSX tag after code fences were excluded.
EnableNcs0,12,docs/cloud-recording/webhook/enable-ncs.mdx|docs/cloud-transcoder/webhook/enable-event-notification.mdx|docs/convoai/webhook/enable-ncs.mdx|docs/fusion-cdn/webhook/enable-ncs.mdx|docs/media-pull/webhook/enable-event-notification.mdx|docs/media-push/webhook/enable-ncs.mdx|docs/rtc/webhook/receive_webhook.mdx|docs/rtmp-gateway/webhook/enable-ncs.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 12 source files include this legacy JSX tag after code fences were excluded.
LinkCardB,12,docs/art-class/landing-page.mdx|docs/dummy-product/landing-page.mdx|docs/online-music-class/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
AppCert,11,docs/aigc/get-started/enable-service.mdx|docs/flexible-classroom/get-started/enable.mdx|docs/game-voice/get-started/enable-service.mdx|docs/meeting/get-started/enable-service.mdx|docs/meta-world/get-started/enable-service.mdx|docs/one-to-one-live/custom-signaling/get-started/enable-service.mdx|docs/one-to-one-live/rtm/get-started/enable-service.mdx|docs/rtc/get-started/enable-service.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 11 source files include this legacy JSX tag after code fences were excluded.
Auth,11,docs/agora-product/user-guides/authorization.restful.mdx|docs/cloud-recording/user-guides/http-basic-auth.mdx|docs/danmaku/get-started/authorization.mdx|docs/media-pull/user-guides/http-basic-auth.mdx|docs/media-push/user-guides/http-basic-auth.mdx|docs/meeting/api/create-room.restful.mdx|docs/meeting/api/query-recording.restful.mdx|docs/meeting/get-started/call-api.restful.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 11 source files include this legacy JSX tag after code fences were excluded.
SDKDownload,11,docs-api-reference/rtm2/toc-configuration/configuration.javascript.mdx|docs-api-reference/rtm2/toc-configuration/configuration.rn.mdx|docs/rtm2/get-started/quick-start.android.mdx|docs/rtm2/get-started/quick-start.cpp.mdx|docs/rtm2/get-started/quick-start.flutter.mdx|docs/rtm2/get-started/quick-start.harmonyos.mdx|docs/rtm2/get-started/quick-start.ios.mdx|docs/rtm2/get-started/quick-start.javascript.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 11 source files include this legacy JSX tag after code fences were excluded.
Desc,10,docs/rtc/basic-features/screen-share.android.mdx|docs/rtc/basic-features/screen-share.electron.mdx|docs/rtc/basic-features/screen-share.flutter.mdx|docs/rtc/basic-features/screen-share.harmonyos.mdx|docs/rtc/basic-features/screen-share.ios.mdx|docs/rtc/basic-features/screen-share.macos.mdx|docs/rtc/basic-features/screen-share.rn.mdx|docs/rtc/basic-features/screen-share.unity.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 10 source files include this legacy JSX tag after code fences were excluded.
CustomerId,9,docs/chatroom/uikit/get-started/enable-service.mdx|docs/cloud-recording/get-started/enable-service.mdx|docs/convoai/get-started/enable-service.mdx|docs/media-pull/get-started/enable-service.mdx|docs/media-push/get-started/enable-service.mdx|docs/rtsa/get-started/enable-service.mdx|docs/shared/cloud-transcoder/enable-service.mdx|docs/toybox/get-started/enable-service.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 9 source files include this legacy JSX tag after code fences were excluded.
EnableNcs1,8,docs/cloud-recording/webhook/enable-ncs.mdx|docs/cloud-transcoder/webhook/enable-event-notification.mdx|docs/media-pull/webhook/enable-event-notification.mdx|docs/media-push/webhook/enable-ncs.mdx|docs/rtc/webhook/receive_webhook.mdx|docs/rtmp-gateway/webhook/enable-ncs.mdx|docs/speech-to-text/webhook/receive-webhook.mdx|docs/voip-callkit/webhook/receive-webhook.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 8 source files include this legacy JSX tag after code fences were excluded.
MutiLinkCard,8,docs/dummy-product/landing-page.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Source,8,docs/flexible-classroom/advanced-features/custom-ui.android.mdx|docs/flexible-classroom/get-started/integrate-new.javascript.mdx|docs/flexible-classroom/get-started/integrate.electron.mdx|docs/flexible-classroom/get-started/integrate.javascript.mdx|docs/flexible-classroom/get-started/quick-start.android.mdx|docs/flexible-classroom/get-started/quick-start.electron.mdx|docs/flexible-classroom/get-started/quick-start.javascript.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
VideoModeration,8,docs/marketplace/integrate-extensions/legacy/_shumei-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_shumei-video-moderation.javascript.mdx|docs/marketplace/integrate-extensions/legacy/_tuputech-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_tuputech-video-moderation.javascript.mdx|docs/marketplace/integrate-extensions/legacy/_yitutech-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_yitutech-video-moderation.javascript.mdx|docs/marketplace/integrate-extensions/netease-yidun-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/netease-yidun-video-moderation.javascript.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 8 source files include this legacy JSX tag after code fences were excluded.
Advanced,7,docs/rtc/basic-features/token-authentication.android.mdx|docs/rtc/basic-features/token-authentication.harmonyos.mdx|docs/rtc/basic-features/token-authentication.ios.macos.mdx|docs/rtc/basic-features/token-authentication.javascript.mdx|docs/rtc/basic-features/token-authentication.windows.unreal-cpp.unreal-blueprint.mdx|docs/rtc/billing/billing-strategy.mdx|docs/rtc/billing/old/billing-strategy-old.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
Arch,7,docs/breakout-classroom/paas/architecture.mdx|docs/chatroom/uikit/get-started/run-github-project.android.mdx|docs/chatroom/uikit/get-started/run-github-project.ios.mdx|docs/chatroom/uikit/overview.mdx|docs/one-to-one-classroom/paas/architecture.mdx|docs/small-classroom/paas/architecture.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Banner,7,docs/dummy-product/_homepage_.mdx|docs/dummy-product/test/rtc-homepage.mdx|docs/iot-apaas/_homepage_.mdx|docs/marketplace/_homepage_.mdx|docs/multi-usecase/_homepage_.mdx|docs/rtc/_homepage_.mdx|docs/rtm2/_homepage_.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
Basic,7,docs/recording/user-guides/generate-token.mdx|docs/rtc/basic-features/token-authentication.android.mdx|docs/rtc/basic-features/token-authentication.harmonyos.mdx|docs/rtc/basic-features/token-authentication.ios.macos.mdx|docs/rtc/basic-features/token-authentication.javascript.mdx|docs/rtc/basic-features/token-authentication.mini-program.mdx|docs/rtc/basic-features/token-authentication.windows.unreal-cpp.unreal-blueprint.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
Regulation2,7,docs-basics/security/_rtsa-sdk.mdx|docs-basics/security/fastboard-sdk.mdx|docs-basics/security/flexible-classroom-sdk.mdx|docs-basics/security/video-sdk.mdx|docs-basics/security/voice-sdk.mdx|docs-basics/security/whiteboard-sdk.mdx|docs/rtm2/security.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
Resolution,7,docs/agora-product/overview/product-overview.mdx|docs/agora-product/quota.restful.mdx|docs/cloud-transcoder/quota.mdx|docs/fusion-cdn/quota.mdx|docs/rtc/overview/product-overview.harmonyos.mdx|docs/rtc/overview/product-overview.mdx|shared/cloud-recording/pcw.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 7 source files include this legacy JSX tag after code fences were excluded.
Useruuid,7,docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Agent,6,docs/convoai/best-practice/audio-settings.mdx|docs/convoai/user-guides/interrupt-agent.mdx|docs/convoai/user-guides/listen-agent-events.mdx|docs/convoai/user-guides/manual-turn-control.mdx|docs/convoai/user-guides/realtime-sub.mdx|docs/convoai/user-guides/send-multimodal-message.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Domain,6,docs/agora-product/best-practices/rest-availability.restful.mdx|docs/cloud-transcoder/best-practices/rest-availability.mdx|docs/media-pull/best-practices/rest-availability.mdx|docs/media-push/best-practices/rest-availability.mdx|docs/rtmp-gateway/best-practices/rest-availability.mdx|shared/rtsa/license.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
EnableNcs2,6,docs/cloud-recording/webhook/enable-ncs.mdx|docs/cloud-transcoder/webhook/enable-event-notification.mdx|docs/fusion-cdn/webhook/enable-ncs.mdx|docs/media-pull/webhook/enable-event-notification.mdx|docs/media-push/webhook/enable-ncs.mdx|docs/rtmp-gateway/webhook/enable-ncs.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Lyrics,6,docs/online-ktv/auikaraoke/api/lyrics-api.android.mdx|docs/online-ktv/auikaraoke/api/lyrics-api.ios.mdx|docs/online-ktv/ktv-scenario/api/lyrics-api.android.mdx|docs/online-ktv/ktv-scenario/api/lyrics-api.ios.mdx|docs/online-ktv/online-ktv-sdk/api/lyrics-api.android.mdx|docs/online-ktv/online-ktv-sdk/api/lyrics-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Scores,6,docs/online-ktv/auikaraoke/advanced-features/lyrics-scoring.android.mdx|docs/online-ktv/auikaraoke/advanced-features/lyrics-scoring.ios.mdx|docs/online-ktv/ktv-scenario/advanced-features/lyrics-scoring.android.mdx|docs/online-ktv/ktv-scenario/advanced-features/lyrics-scoring.ios.mdx|docs/online-ktv/online-ktv-sdk/advanced-features/lyrics-scoring.android.mdx|docs/online-ktv/online-ktv-sdk/advanced-features/lyrics-scoring.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Sync,6,docs/online-ktv/auikaraoke/advanced-features/lyrics-syncing.android.mdx|docs/online-ktv/auikaraoke/advanced-features/lyrics-syncing.ios.mdx|docs/online-ktv/ktv-scenario/advanced-features/lyrics-syncing.android.mdx|docs/online-ktv/ktv-scenario/advanced-features/lyrics-syncing.ios.mdx|docs/online-ktv/online-ktv-sdk/advanced-features/lyrics-syncing.android.mdx|docs/online-ktv/online-ktv-sdk/advanced-features/lyrics-syncing.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
VideoModerationFaq,6,docs/marketplace/integrate-extensions/legacy/_tuputech-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_tuputech-video-moderation.javascript.mdx|docs/marketplace/integrate-extensions/legacy/_yitutech-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/legacy/_yitutech-video-moderation.javascript.mdx|docs/marketplace/integrate-extensions/netease-yidun-video-moderation.android.ios.mdx|docs/marketplace/integrate-extensions/netease-yidun-video-moderation.javascript.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 6 source files include this legacy JSX tag after code fences were excluded.
Advantages,5,docs/art-class/overview/product-overview.mdx|docs/breakout-classroom/overview/product-overview.mdx|docs/one-to-one-classroom/overview/product-overview.mdx|docs/online-music-class/overview/product-overview.mdx|docs/small-classroom/overview/product-overview.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Certificate,5,docs/chatroom/uikit/get-started/enable-service.mdx|docs/cloud-recording/get-started/enable-service.mdx|docs/multi-usecase/ui-solution/enable-service.mdx|docs/online-ktv/auikaraoke/get-started/enable-service.mdx|docs/rtm2/get-started/enable-service.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Destroy,5,docs/convoai/user-guides/interrupt-agent.mdx|docs/convoai/user-guides/listen-agent-events.mdx|docs/convoai/user-guides/manual-turn-control.mdx|docs/convoai/user-guides/realtime-sub.mdx|docs/convoai/user-guides/send-multimodal-message.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Preq,5,docs/chatroom/uikit/get-started/run-github-project.android.mdx|docs/flexible-classroom/get-started/quick-start.android.mdx|docs/flexible-classroom/get-started/quick-start.electron.mdx|docs/flexible-classroom/get-started/quick-start.javascript.mdx|docs/rtc/basic-features/audio-quick-start.unreal-cpp.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Prereq,5,docs/cloud-recording/webhook/enable-ncs.mdx|docs/cloud-transcoder/webhook/enable-event-notification.mdx|docs/media-pull/webhook/enable-event-notification.mdx|docs/media-push/webhook/enable-ncs.mdx|docs/rtmp-gateway/webhook/enable-ncs.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Purchase,5,docs/cloud-recording/overview/billing-strategy/payment.mdx|docs/media-pull/overview/payment.mdx|docs/media-push/overview/payment.mdx|docs/recording/overview/payment.mdx|docs/rtmp-gateway/overview/payment.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Regulation1,5,docs-basics/security/_rtsa-sdk.mdx|docs-basics/security/flexible-classroom-sdk.mdx|docs-basics/security/video-sdk.mdx|docs-basics/security/voice-sdk.mdx|docs/rtm2/security.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
RtscPackage,5,docs/cloud-recording/overview/billing-strategy/payment.mdx|docs/media-pull/overview/payment.mdx|docs/media-push/overview/payment.mdx|docs/recording/overview/payment.mdx|docs/rtmp-gateway/overview/payment.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Secret,5,docs/fusion-cdn/get-started/enable-service.mdx|docs/game-voice/get-started/enable-service.mdx|docs/meta-world/get-started/enable-service.mdx|docs/rtc/get-started/enable-service.restful.mdx|docs/showroom/get-started/enable-service.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
